Scenario,InitialDiff,ResourceOverlap,FracRefuge,FightingDiff,MutationRate,BaseNestlSurv,NestSurvSpeciesModifier,Replicates_ALL,Replicates_NF,Replicates_nf_1K,Replicates_nf_end,Pr_Coexist,Pr_Sp1_Extinct,Pr_Sp2_Extinct,Coexistence_outcome,Mean_coexistence,dZ1_1K,dZ2_1K,dMu1_1K,dMu2_1K,dSig1_1K,dSig2_1K,dZ1Mu1_1K,dZ2Mu2_1K,dZ1Mu2_1K,dZ2Mu1_1K,Pr_Divergence_1K,Pr_Sp1diverging_1K,Pr_Sp2diverging_1K,Pr_Convergence_1K,Pr_Sp1converging_1K,Pr_Sp2converging_1K,Pr_Sp1chasing2_1K,Pr_Sp2chasing1_1K,Pr_Stasis_1K,Pr_Z1diverging_1K,Pr_Z2diverging_1K,Pr_Mu1diverging_1K,Pr_Mu2diverging_1K,Pr_Z1converging_1K,Pr_Z2converging_1K,Pr_Mu1converging_1K,Pr_Mu2converging_1K,Pr_Z1Mu2diverging_1K,Pr_Z2Mu1diverging_1K,Pr_Z2Mu1converging_1K,Pr_Z1Mu2converging_1K,Pr_Z1Z2diverging_1K,Pr_Mu1Mu2diverging_1K,Pr_Z1Z2converging_1K,Pr_Mu1Mu2converging_1K,Pr_Z1chasingMu2_1K,Pr_Z2chasingMu1_1K,Pr_Mu1chasingZ2_1K,Pr_Mu2chasingZ1_1K,Trait_outcome_1K,dZ1,dZ2,dMu1,dMu2,dSig1,dSig2,dZ1Mu1,dZ2Mu2,dZ1Mu2,dZ2Mu1,Pr_Divergence,Pr_Sp1diverging,Pr_Sp2diverging,Pr_Convergence,Pr_Sp1converging,Pr_Sp2converging,Pr_Sp1chasing2,Pr_Sp2chasing1,Pr_Stasis,Pr_Z1diverging,Pr_Z2diverging,Pr_Mu1diverging,Pr_Mu2diverging,Pr_Z1converging,Pr_Z2converging,Pr_Mu1converging,Pr_Mu2converging,Pr_Z1Mu2diverging,Pr_Z2Mu1diverging,Pr_Z2Mu1converging,Pr_Z1Mu2converging,Pr_Z1Z2diverging,Pr_Mu1Mu2diverging,Pr_Z1Z2converging,Pr_Mu1Mu2converging,Pr_Z1chasingMu2,Pr_Z2chasingMu1,Pr_Mu1chasingZ2,Pr_Mu2chasingZ1,Trait_outcome
1949,1,0.925,0.1,-5,1e-04,0.29167,0.023,13,13,7,3,0.230769230769231,0.769230769230769,0,Coexist_or_sp1_extinct,2818.23076923077,3.64365778828571,4.745657472,3.790997379,5.00892348071429,2.23128961,0.564023418857143,0.537202714571429,0.262570927285714,2.17229895828571,2.08786342114286,0,0,0.428571428571429,0,0,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Sp1chasing2,7.31496778266667,9.53711316266667,7.986009146,9.58730055633333,4.55776716566667,1.04319932466667,0.920310321333333,0.506455524,2.883750797,2.46989599933333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1950,1,0.925,0.1,0,1e-04,0.29167,0.023,13,12,0,3,0,1,0,Sp1_extinct,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct
1951,1,0.925,0.15,-50,1e-04,0.29167,0.023,14,14,13,13,0.928571428571429,0.0714285714285714,0,Coexist_or_sp1_extinct,8424,9.14447555984615,12.8259066,10.5555081452308,12.1927520234615,6.16733312746154,1.66177999484615,1.96726696315385,0.763114130153846,4.00826644984615,3.34402527869231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,9.14447555984615,12.8259066,10.5555081452308,12.1927520234615,6.16733312746154,1.66177999484615,1.96726696315385,0.763114130153846,4.00826644984615,3.34402527869231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1952,1,0.925,0.15,-25,1e-04,0.29167,0.023,14,14,13,13,0.928571428571429,0.0714285714285714,0,Coexist_or_sp1_extinct,8416.85714285714,8.50092700738462,12.4518175769231,10.066785231,11.7184844491538,6.248062808,1.72473209407692,1.97993430630769,0.728814883461538,4.23625451123077,3.39656203046154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,8.50092700738462,12.4518175769231,10.066785231,11.7184844491538,6.248062808,1.72473209407692,1.97993430630769,0.728814883461538,4.23625451123077,3.39656203046154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1953,1,0.925,0.15,-15,1e-04,0.29167,0.023,14,14,14,14,1,0,0,Coexist,8999,9.33179785978571,13.4799059642857,11.0782792977143,12.9722303464286,6.26752937907143,1.74566876492857,1.77470381478571,0.787979478,4.40060570457143,3.41388136785714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,9.33179785978571,13.4799059642857,11.0782792977143,12.9722303464286,6.26752937907143,1.74566876492857,1.77470381478571,0.787979478,4.40060570457143,3.41388136785714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1954,1,0.925,0.15,-10,1e-04,0.29167,0.023,14,14,11,10,0.714285714285714,0.285714285714286,0,Coexist_or_sp1_extinct,7059.71428571429,8.91464260072727,12.7709783572727,10.3897808353636,11.6956166711818,6.11063816709091,1.85370018045455,1.51714737554545,0.795876059363636,3.95819789263636,3.23692657672727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,9.0861748251,12.926072717,10.5642044227,11.891135458,6.2466054138,1.913230741,1.597079094,0.8126169471,4.0114950086,3.2270328619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1955,1,0.925,0.15,-5,1e-04,0.29167,0.023,14,14,6,3,0.214285714285714,0.785714285714286,0,Coexist_or_sp1_extinct,3216.85714285714,6.645204836,8.764265628,7.54698709183333,8.0391389055,3.225809028,1.043707607,1.1373397135,0.561777394333333,2.5759756485,2.03735775966667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,9.82425428333333,12.3489708133333,10.947807128,11.27248575,4.13068107366667,1.245451491,1.37481962633333,0.720071457333333,2.85762603333333,2.20287786433333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1956,1,0.925,0.15,0,1e-04,0.29167,0.023,14,14,0,3,0,1,0,Sp1_extinct,41.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct
1957,1,0.925,0.25,-50,1e-04,0.29167,0.023,14,14,14,13,0.928571428571429,0.0714285714285714,0,Coexist_or_sp1_extinct,8784.71428571429,11.5899634585,16.3255070185714,14.0885677055,15.0064301785714,7.9291231535,2.44553832578571,2.39115613371429,1.11978881107143,4.44905362935714,3.177686307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,11.8629847862308,16.6334040176923,14.4333143592308,15.3256847907692,8.18913697415385,2.49356182669231,2.42753161676923,1.13283523623077,4.49007061776923,3.19537423746154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1958,1,0.925,0.25,-25,1e-04,0.29167,0.023,14,14,13,12,0.857142857142857,0.142857142857143,0,Coexist_or_sp1_extinct,8338.28571428571,11.6632488966923,15.3762682369231,13.4859362708462,14.9404531669231,6.06295102707692,1.84075920638462,1.85917826015385,0.935138678692308,3.840441435,2.91640185346154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,11.73106398975,15.3358571258333,13.51944216175,14.8746032925,5.81483313883333,1.77313434283333,1.841713442,0.924161009583333,3.72634728433333,2.80879485183333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
